year,anomaly_c,anomaly_f
1850,-0.18,-0.32
1851,-0.11,-0.20
1852,-0.01,-0.02
1853,-0.16,-0.29
1854,-0.10,-0.18
1855,-0.33,-0.59
1856,-0.31,-0.56
1857,0.16,0.29
1858,-0.15,-0.27
1859,-0.02,-0.04
1860,-0.21,-0.38
1861,-0.24,-0.43
1862,-0.06,-0.11
1863,0.03,0.05
1864,-0.35,-0.63
1865,-0.07,-0.13
1866,-0.03,-0.05
1867,-0.12,-0.22
1868,-0.12,-0.22
1869,-0.09,-0.16
1870,-0.24,-0.43
1871,-0.30,-0.54
1872,-0.08,-0.14
1873,-0.24,-0.43
1874,-0.19,-0.34
1875,-0.27,-0.49
1876,-0.18,-0.32
1877,0.06,0.11
1878,0.07,0.13
1879,-0.24,-0.43
1880,-0.32,-0.58
1881,-0.13,-0.23
1882,0.02,0.04
1883,-0.24,-0.43
1884,-0.22,-0.40
1885,-0.47,-0.85
1886,-0.38,-0.68
1887,-0.51,-0.92
1888,-0.30,-0.54
1889,-0.16,-0.29
1890,-0.42,-0.76
1891,-0.48,-0.86
1892,-0.34,-0.61
1893,-0.62,-1.12
1894,-0.41,-0.74
1895,-0.33,-0.59
1896,-0.12,-0.22
1897,-0.20,-0.36
1898,-0.18,-0.32
1899,-0.24,-0.43
1900,-0.08,-0.14
1901,-0.18,-0.32
1902,-0.15,-0.27
1903,-0.28,-0.50
1904,-0.42,-0.76
1905,-0.33,-0.59
1906,-0.23,-0.41
1907,-0.44,-0.79
1908,-0.37,-0.67
1909,-0.44,-0.79
1910,-0.34,-0.61
1911,-0.39,-0.70
1912,-0.27,-0.49
1913,-0.26,-0.47
1914,0.04,0.07
1915,-0.01,-0.02
1916,-0.31,-0.56
1917,-0.50,-0.90
1918,-0.21,-0.38
1919,-0.21,-0.38
1920,-0.11,-0.20
1921,0.03,0.05
1922,-0.23,-0.41
1923,-0.17,-0.31
1924,-0.18,-0.32
1925,-0.16,-0.29
1926,0.10,0.18
1927,-0.03,-0.05
1928,-0.01,-0.02
1929,-0.39,-0.70
1930,0.06,0.11
1931,0.02,0.04
1932,0.08,0.14
1933,-0.20,-0.36
1934,0.04,0.07
1935,-0.27,-0.49
1936,-0.14,-0.25
1937,0.11,0.20
1938,0.15,0.27
1939,-0.01,-0.02
1940,-0.02,-0.04
1941,0.14,0.25
1942,0.15,0.27
1943,-0.01,-0.02
1944,0.29,0.52
1945,0.11,0.20
1946,0.14,0.25
1947,-0.01,-0.02
1948,0.02,0.04
1949,0.06,0.11
1950,-0.15,-0.27
1951,-0.01,-0.02
1952,0.10,0.18
1953,0.13,0.23
1954,-0.10,-0.18
1955,-0.17,-0.31
1956,-0.14,-0.25
1957,0.08,0.14
1958,0.23,0.41
1959,0.03,0.05
1960,0.01,0.02
1961,0.05,0.09
1962,0.06,0.11
1963,0.01,0.02
1964,-0.11,-0.20
1965,-0.03,-0.05
1966,-0.08,-0.14
1967,-0.03,-0.05
1968,-0.18,-0.32
1969,0.03,0.05
1970,0.06,0.11
1971,-0.04,-0.07
1972,-0.11,-0.20
1973,0.16,0.29
1974,-0.12,-0.22
1975,0.01,0.02
1976,-0.06,-0.11
1977,0.10,0.18
1978,0.04,0.07
1979,0.05,0.09
1980,0.25,0.45
1981,0.38,0.68
1982,0.02,0.04
1983,0.42,0.76
1984,0.17,0.31
1985,0.05,0.09
1986,0.25,0.45
1987,0.30,0.54
1988,0.44,0.79
1989,0.15,0.27
1990,0.33,0.59
1991,0.38,0.68
1992,0.36,0.65
1993,0.26,0.47
1994,0.22,0.40
1995,0.50,0.90
1996,0.21,0.38
1997,0.32,0.58
1998,0.53,0.95
1999,0.47,0.85
2000,0.22,0.40
2001,0.38,0.68
2002,0.51,0.92
2003,0.64,1.15
2004,0.53,0.95
2005,0.49,0.88
2006,0.42,0.76
2007,0.72,1.30
2008,0.22,0.40
2009,0.52,0.94
2010,0.65,1.17
2011,0.40,0.72
2012,0.39,0.70
2013,0.55,0.99
2014,0.56,1.01
2015,0.73,1.31
2016,1.02,1.84
2017,0.92,1.66
2018,0.71,1.28
2019,0.80,1.44
2020,1.10,1.98
2021,0.75,1.35
2022,0.81,1.46
2023,1.02,1.84
2024,1.30,2.34
2025,1.22,2.20
