Figure 3: Deaths not involving COVID-19 remained below the five-year average in Week 47,,,,,,,,
"Number of deaths registered by week, England and Wales, 28 December 2019 to 20 November 2020",,,,,,,,
,,,,,,,,
Notes,"1. Figures include deaths of non-residents.
2. Based on date a death was registered rather than occurred.
3. All figures for 2020 are provisional.
4. The International Classification of Diseases, Tenth Edition (ICD-10) definitions are as follows: coronavirus (COVID-19) (U07.1 and U07.2).",,,,,,,
Unit,Number of deaths,,,,,,,
,,,,,,,,
Week no.,Deaths not involving COVID,All deaths - Five-year average,COVID-19,,,,,
Week 1,"12,254","12,175",0,,,,,
Week 2,"14,058","13,822",0,,,,,
Week 3,"12,990","13,216",0,,,,,
Week 4,"11,856","12,760",0,,,,,
Week 5,"11,612","12,206",0,,,,,
Week 6,"10,986","11,925",0,,,,,
Week 7,"10,944","11,627",0,,,,,
Week 8,"10,841","11,548",0,,,,,
Week 9,"10,816","11,183",0,,,,,
Week 10,"10,895","11,498",0,,,,,
Week 11,"11,014","11,205",5,,,,,
Week 12,"10,542","10,573",103,,,,,
Week 13,"10,602","10,130",539,,,,,
Week 14,"12,912","10,305","3,475",,,,,
Week 15,"12,303","10,520","6,213",,,,,
Week 16,"13,593","10,497","8,758",,,,,
Week 17,"13,760","10,458","8,237",,,,,
Week 18,"11,918","9,941","6,035",,,,,
Week 19,"8,727","9,576","3,930",,,,,
Week 20,"10,763","10,188","3,810",,,,,
Week 21,"9,699","9,940","2,589",,,,,
Week 22,"8,002","8,171","1,822",,,,,
Week 23,"9,121","9,977","1,588",,,,,
Week 24,"8,862","9,417","1,114",,,,,
Week 25,"8,556","9,404",783,,,,,
Week 26,"8,373","9,293",606,,,,,
Week 27,"8,608","9,183",532,,,,,
Week 28,"8,324","9,250",366,,,,,
Week 29,"8,528","9,093",295,,,,,
Week 30,"8,674","9,052",217,,,,,
Week 31,"8,753","9,036",193,,,,,
Week 32,"8,793","9,102",152,,,,,
Week 33,"9,253","9,085",139,,,,,
Week 34,"9,493","9,157",138,,,,,
Week 35,"8,931","8,241",101,,,,,
Week 36,"7,661","9,182",78,,,,,
Week 37,"9,712","9,306",99,,,,,
Week 38,"9,384","9,264",139,,,,,
Week 39,"9,419","9,377",215,,,,,
Week 40,"9,624","9,555",321,,,,,
Week 41,"9,516","9,811",438,,,,,
Week 42,"9,864","9,865",670,,,,,
Week 43,"9,761","9,759",978,,,,,
Week 44,"9,508","9,891","1,379",,,,,
Week 45,"9,875","10,331","1,937",,,,,
Week 46,"9,788","10,350","2,466",,,,,
Week 47,"9,838","10,380","2,697",,,,,
,,,,,,,,
,,,,,,,,
Source: Office for National Statistics,,,,,,,,
