Entity,Code,Year,Production of fish and seafood
China,CHN,1993,19708190
China,CHN,1994,23833630
China,CHN,1995,28418360
China,CHN,1996,31896680
China,CHN,1997,32580750
China,CHN,1998,34043380
China,CHN,1999,35162720
China,CHN,2000,36170700
China,CHN,2001,36878260
China,CHN,2002,38315428
China,CHN,2003,39430532
China,CHN,2004,41032000
China,CHN,2005,42709628
China,CHN,2006,44487860
China,CHN,2007,46074172
China,CHN,2008,47521532
China,CHN,2009,49699468
China,CHN,2010,50321000
China,CHN,2011,51603000
China,CHN,2012,53325000
China,CHN,2013,55688000
China,CHN,2014,58415000
China,CHN,2015,60134000
China,CHN,2016,61604000
China,CHN,2017,62197000
China,CHN,2018,62207000
China,CHN,2019,62242000
China,CHN,2020,62846000
China,CHN,2021,64159000
China,CHN,2022,64159000
China,CHN,2023,64159000
High-income countries,OWID_HIC,1993,44153880
High-income countries,OWID_HIC,1994,44572020
High-income countries,OWID_HIC,1995,44791150
High-income countries,OWID_HIC,1996,44064430
High-income countries,OWID_HIC,1997,43955780
High-income countries,OWID_HIC,1998,39651640
High-income countries,OWID_HIC,1999,40494700
High-income countries,OWID_HIC,2000,39506052
High-income countries,OWID_HIC,2001,39223012
High-income countries,OWID_HIC,2002,38555508
High-income countries,OWID_HIC,2003,37718930
High-income countries,OWID_HIC,2004,38093172
High-income countries,OWID_HIC,2005,37337972
High-income countries,OWID_HIC,2006,36845620
High-income countries,OWID_HIC,2007,36841812
High-income countries,OWID_HIC,2008,35514410
High-income countries,OWID_HIC,2009,35299250
High-income countries,OWID_HIC,2010,34996000
High-income countries,OWID_HIC,2011,35684000
High-income countries,OWID_HIC,2012,34893000
High-income countries,OWID_HIC,2013,34169000
High-income countries,OWID_HIC,2014,35408000
High-income countries,OWID_HIC,2015,35027000
High-income countries,OWID_HIC,2016,33560000
High-income countries,OWID_HIC,2017,35409000
High-income countries,OWID_HIC,2018,36046000
High-income countries,OWID_HIC,2019,34889000
High-income countries,OWID_HIC,2020,34849000
High-income countries,OWID_HIC,2021,35007000
High-income countries,OWID_HIC,2022,35007000
High-income countries,OWID_HIC,2023,31245000
United States,USA,1993,5939830
United States,USA,1994,5926740
United States,USA,1995,5638310
United States,USA,1996,5394540
United States,USA,1997,5421800
United States,USA,1998,5154100
United States,USA,1999,5228860
United States,USA,2000,5174470
United States,USA,2001,5424700
United States,USA,2002,5436200
United States,USA,2003,5484920
United States,USA,2004,5567400
United States,USA,2005,5406890
United States,USA,2006,5372250
United States,USA,2007,5293640
United States,USA,2008,4850980
United States,USA,2009,4703280
United States,USA,2010,4809000
United States,USA,2011,5571000
United States,USA,2012,5425000
United States,USA,2013,5525000
United States,USA,2014,5406000
United States,USA,2015,5466000
United States,USA,2016,5348000
United States,USA,2017,5474000
United States,USA,2018,5211000
United States,USA,2019,5291000
United States,USA,2020,5291000
United States,USA,2021,5291000
United States,USA,2022,5291000
United States,USA,2023,5291000
