Entity,Code,Year,Share of the population using the Internet
East Asia and Pacific (WB),WB_EAP,2005,14.7
East Asia and Pacific (WB),WB_EAP,2006,16.6
East Asia and Pacific (WB),WB_EAP,2007,20.8
East Asia and Pacific (WB),WB_EAP,2008,25.2
East Asia and Pacific (WB),WB_EAP,2009,29.5
East Asia and Pacific (WB),WB_EAP,2010,34.2
East Asia and Pacific (WB),WB_EAP,2011,37.3
East Asia and Pacific (WB),WB_EAP,2012,40.4
East Asia and Pacific (WB),WB_EAP,2013,43.2
East Asia and Pacific (WB),WB_EAP,2014,45.5
East Asia and Pacific (WB),WB_EAP,2015,48.3
East Asia and Pacific (WB),WB_EAP,2016,53.9
East Asia and Pacific (WB),WB_EAP,2017,57.8
East Asia and Pacific (WB),WB_EAP,2018,62.5
East Asia and Pacific (WB),WB_EAP,2019,67.1
East Asia and Pacific (WB),WB_EAP,2020,73.9
East Asia and Pacific (WB),WB_EAP,2021,78.8
East Asia and Pacific (WB),WB_EAP,2022,82.4
East Asia and Pacific (WB),WB_EAP,2023,84.9
East Asia and Pacific (WB),WB_EAP,2024,86.6
North America (WB),WB_NA,2005,68.3
North America (WB),WB_NA,2006,69.3
North America (WB),WB_NA,2007,74.8
North America (WB),WB_NA,2008,74.3
North America (WB),WB_NA,2009,71.9
North America (WB),WB_NA,2010,72.5
North America (WB),WB_NA,2011,71
North America (WB),WB_NA,2012,75.5
North America (WB),WB_NA,2013,72.8
North America (WB),WB_NA,2014,74.4
North America (WB),WB_NA,2015,76.1
North America (WB),WB_NA,2016,86.1
North America (WB),WB_NA,2017,87.8
North America (WB),WB_NA,2018,89.1
North America (WB),WB_NA,2019,89.7
North America (WB),WB_NA,2020,90.5
North America (WB),WB_NA,2021,91.5
North America (WB),WB_NA,2022,92.6
North America (WB),WB_NA,2023,93.3
North America (WB),WB_NA,2024,94.4
South Asia (WB),WB_SA,2005,2.1
South Asia (WB),WB_SA,2006,2.6
South Asia (WB),WB_SA,2007,3.7
South Asia (WB),WB_SA,2008,4.1
South Asia (WB),WB_SA,2009,4.9
South Asia (WB),WB_SA,2010,7.1
South Asia (WB),WB_SA,2011,9.4
South Asia (WB),WB_SA,2012,10.4
South Asia (WB),WB_SA,2013,11.7
South Asia (WB),WB_SA,2014,13
South Asia (WB),WB_SA,2015,14.7
South Asia (WB),WB_SA,2016,16.7
South Asia (WB),WB_SA,2017,18.8
South Asia (WB),WB_SA,2018,20.9
South Asia (WB),WB_SA,2019,29.7
South Asia (WB),WB_SA,2020,42.5
South Asia (WB),WB_SA,2021,48
South Asia (WB),WB_SA,2022,54.2
South Asia (WB),WB_SA,2023,58.3
South Asia (WB),WB_SA,2024,62.8
Sub-Saharan Africa (WB),WB_SSA,2005,2
Sub-Saharan Africa (WB),WB_SSA,2006,2.6
Sub-Saharan Africa (WB),WB_SSA,2007,3.1
Sub-Saharan Africa (WB),WB_SSA,2008,3.6
Sub-Saharan Africa (WB),WB_SSA,2009,4.3
Sub-Saharan Africa (WB),WB_SSA,2010,6
Sub-Saharan Africa (WB),WB_SSA,2011,7.5
Sub-Saharan Africa (WB),WB_SSA,2012,9.2
Sub-Saharan Africa (WB),WB_SSA,2013,11.2
Sub-Saharan Africa (WB),WB_SSA,2014,13.4
Sub-Saharan Africa (WB),WB_SSA,2015,16.2
Sub-Saharan Africa (WB),WB_SSA,2016,18.3
Sub-Saharan Africa (WB),WB_SSA,2017,20
Sub-Saharan Africa (WB),WB_SSA,2018,22
Sub-Saharan Africa (WB),WB_SSA,2019,24.4
Sub-Saharan Africa (WB),WB_SSA,2020,26.7
Sub-Saharan Africa (WB),WB_SSA,2021,29
Sub-Saharan Africa (WB),WB_SSA,2022,31.1
Sub-Saharan Africa (WB),WB_SSA,2023,32.3
Sub-Saharan Africa (WB),WB_SSA,2024,33.6
