Year,Month,WDCGG CO2 (ppm),WDCGG CO2 uncertainty
1984,1,345.49,
1984,2,345.87,
1984,3,346.10,
1984,4,346.07,
1984,5,345.47,
1984,6,344.19,
1984,7,342.58,
1984,8,341.65,
1984,9,342.16,
1984,10,343.73,
1984,11,345.34,
1984,12,346.32,
1985,1,346.85,
1985,2,347.16,
1985,3,347.42,
1985,4,347.36,
1985,5,346.80,
1985,6,345.54,
1985,7,343.94,
1985,8,342.99,
1985,9,343.49,
1985,10,345.11,
1985,11,346.74,
1985,12,347.71,
1986,1,348.24,
1986,2,348.64,
1986,3,348.88,
1986,4,348.85,
1986,5,348.31,
1986,6,347.09,
1986,7,345.48,
1986,8,344.57,
1986,9,345.09,
1986,10,346.71,
1986,11,348.30,
1986,12,349.19,
1987,1,349.74,
1987,2,350.11,
1987,3,350.40,
1987,4,350.49,
1987,5,350.07,
1987,6,348.97,
1987,7,347.48,
1987,8,346.59,
1987,9,347.13,
1987,10,348.75,
1987,11,350.41,
1987,12,351.46,
1988,1,352.04,
1988,2,352.44,
1988,3,352.73,
1988,4,352.81,
1988,5,352.33,
1988,6,351.16,
1988,7,349.68,
1988,8,348.83,
1988,9,349.40,
1988,10,351.04,
1988,11,352.58,
1988,12,353.57,
1989,1,354.15,
1989,2,354.49,
1989,3,354.69,
1989,4,354.65,
1989,5,354.05,
1989,6,352.79,
1989,7,351.26,
1989,8,350.33,
1989,9,350.84,
1989,10,352.39,
1989,11,353.94,
1989,12,354.86,
1990,1,355.34,
1990,2,355.64,
1990,3,355.87,
1990,4,355.79,
1990,5,355.22,
1990,6,353.95,
1990,7,352.39,
1990,8,351.48,
1990,9,352.02,
1990,10,353.65,
1990,11,355.23,
1990,12,356.17,
1991,1,356.71,
1991,2,357.10,
1991,3,357.33,
1991,4,357.26,
1991,5,356.72,
1991,6,355.43,
1991,7,353.75,
1991,8,352.73,
1991,9,353.20,
1991,10,354.75,
1991,11,356.29,
1991,12,357.12,
1992,1,357.58,
1992,2,357.85,
1992,3,358.06,
1992,4,358.05,
1992,5,357.48,
1992,6,356.12,
1992,7,354.48,
1992,8,353.51,
1992,9,353.86,
1992,10,355.46,
1992,11,356.86,
1992,12,357.75,
1993,1,358.25,
1993,2,358.56,
1993,3,358.83,
1993,4,358.79,
1993,5,358.15,
1993,6,356.87,
1993,7,355.27,
1993,8,354.38,
1993,9,354.82,
1993,10,356.42,
1993,11,357.99,
1993,12,358.91,
1994,1,359.57,
1994,2,360.00,
1994,3,360.19,
1994,4,360.16,
1994,5,359.56,
1994,6,358.32,
1994,7,356.80,
1994,8,355.90,
1994,9,356.34,
1994,10,358.01,
1994,11,359.63,
1994,12,360.65,
1995,1,361.23,
1995,2,361.64,
1995,3,361.89,
1995,4,361.93,
1995,5,361.40,
1995,6,360.17,
1995,7,358.63,
1995,8,357.72,
1995,9,358.34,
1995,10,360.09,
1995,11,361.71,
1995,12,362.73,
1996,1,363.33,
1996,2,363.69,
1996,3,363.85,
1996,4,363.82,
1996,5,363.33,
1996,6,362.08,
1996,7,360.58,
1996,8,359.61,
1996,9,359.97,
1996,10,361.56,
1996,11,363.06,
1996,12,363.93,
1997,1,364.50,
1997,2,364.81,
1997,3,365.01,
1997,4,365.09,
1997,5,364.59,
1997,6,363.25,
1997,7,361.66,
1997,8,360.73,
1997,9,361.24,
1997,10,362.98,
1997,11,364.72,
1997,12,365.77,
1998,1,366.43,
1998,2,366.89,
1998,3,367.24,
1998,4,367.39,
1998,5,367.00,
1998,6,365.99,
1998,7,364.61,
1998,8,363.79,
1998,9,364.36,
1998,10,366.14,
1998,11,367.75,
1998,12,368.68,
1999,1,369.26,
1999,2,369.64,
1999,3,369.88,
1999,4,369.81,
1999,5,369.22,
1999,6,367.93,
1999,7,366.34,
1999,8,365.45,
1999,9,365.97,
1999,10,367.53,
1999,11,369.16,
1999,12,370.11,
2000,1,370.70,
2000,2,370.98,
2000,3,371.14,
2000,4,371.13,
2000,5,370.54,
2000,6,369.34,
2000,7,367.83,
2000,8,366.93,
2000,9,367.37,
2000,10,369.08,
2000,11,370.65,
2000,12,371.69,
2001,1,372.26,
2001,2,372.47,
2001,3,372.72,
2001,4,372.66,
2001,5,372.10,
2001,6,370.87,
2001,7,369.31,
2001,8,368.43,
2001,9,368.97,
2001,10,370.68,
2001,11,372.19,
2001,12,373.20,
2002,1,373.83,
2002,2,374.18,
2002,3,374.43,
2002,4,374.51,
2002,5,373.98,
2002,6,372.78,
2002,7,371.40,
2002,8,370.59,
2002,9,371.10,
2002,10,372.88,
2002,11,374.48,
2002,12,375.53,
2003,1,376.14,
2003,2,376.60,
2003,3,376.88,
2003,4,377.00,
2003,5,376.52,
2003,6,375.34,
2003,7,373.85,
2003,8,373.10,
2003,9,373.49,
2003,10,375.13,
2003,11,376.73,
2003,12,377.72,
2004,1,378.29,
2004,2,378.68,
2004,3,378.90,
2004,4,378.90,
2004,5,378.37,
2004,6,377.07,
2004,7,375.52,
2004,8,374.59,
2004,9,375.04,
2004,10,376.74,
2004,11,378.36,
2004,12,379.33,
2005,1,380.01,
2005,2,380.52,
2005,3,380.79,
2005,4,380.81,
2005,5,380.32,
2005,6,379.20,
2005,7,377.65,
2005,8,376.80,
2005,9,377.39,
2005,10,379.03,
2005,11,380.73,
2005,12,381.81,
2006,1,382.52,
2006,2,382.95,
2006,3,383.12,
2006,4,383.08,
2006,5,382.58,
2006,6,381.35,
2006,7,379.80,
2006,8,378.84,
2006,9,379.36,
2006,10,381.03,
2006,11,382.63,
2006,12,383.51,
2007,1,384.08,
2007,2,384.58,
2007,3,384.80,
2007,4,384.77,
2007,5,384.34,
2007,6,383.19,
2007,7,381.72,
2007,8,380.79,
2007,9,381.30,
2007,10,383.07,
2007,11,384.57,
2007,12,385.74,
2008,1,386.42,
2008,2,386.83,
2008,3,387.07,
2008,4,387.14,
2008,5,386.51,
2008,6,385.32,
2008,7,383.68,
2008,8,382.68,
2008,9,383.18,
2008,10,384.72,
2008,11,386.37,
2008,12,387.50,
2009,1,388.19,
2009,2,388.48,
2009,3,388.64,
2009,4,388.62,
2009,5,388.02,
2009,6,386.73,
2009,7,385.13,
2009,8,384.14,
2009,9,384.57,
2009,10,386.39,
2009,11,388.01,
2009,12,389.13,
2010,1,389.88,
2010,2,390.29,
2010,3,390.46,
2010,4,390.52,
2010,5,390.02,
2010,6,388.80,
2010,7,387.33,
2010,8,386.59,
2010,9,387.17,
2010,10,388.89,
2010,11,390.53,
2010,12,391.64,
2011,1,392.08,
2011,2,392.51,
2011,3,392.68,
2011,4,392.49,
2011,5,391.93,
2011,6,390.72,
2011,7,389.11,
2011,8,388.26,
2011,9,388.80,
2011,10,390.58,
2011,11,392.37,
2011,12,393.16,
2012,1,393.94,
2012,2,394.40,
2012,3,394.63,
2012,4,394.69,
2012,5,394.08,
2012,6,392.88,
2012,7,391.37,
2012,8,390.62,
2012,9,391.24,
2012,10,393.19,
2012,11,394.94,
2012,12,396.03,
2013,1,396.65,
2013,2,397.03,
2013,3,397.37,
2013,4,397.59,
2013,5,397.04,
2013,6,395.89,
2013,7,394.38,
2013,8,393.65,
2013,9,393.86,
2013,10,395.61,
2013,11,397.21,
2013,12,398.19,
2014,1,398.81,
2014,2,399.23,
2014,3,399.59,
2014,4,399.48,
2014,5,399.01,
2014,6,397.73,
2014,7,396.13,
2014,8,395.21,
2014,9,395.86,
2014,10,397.56,
2014,11,399.29,
2014,12,400.28,
2015,1,400.94,
2015,2,401.46,
2015,3,401.66,
2015,4,401.65,
2015,5,401.12,
2015,6,399.91,
2015,7,398.48,
2015,8,397.65,
2015,9,398.16,
2015,10,400.28,
2015,11,401.93,
2015,12,403.02,
2016,1,403.91,
2016,2,404.30,
2016,3,404.83,
2016,4,404.93,
2016,5,404.58,
2016,6,403.31,
2016,7,401.75,
2016,8,400.95,
2016,9,401.78,
2016,10,403.52,
2016,11,405.08,
2016,12,406.06,
2017,1,406.63,
2017,2,407.12,
2017,3,407.37,
2017,4,407.32,
2017,5,406.85,
2017,6,405.57,
2017,7,403.99,
2017,8,402.98,
2017,9,403.43,
2017,10,405.26,
2017,11,406.98,
2017,12,408.04,
2018,1,408.75,
2018,2,409.38,
2018,3,409.55,
2018,4,409.56,
2018,5,408.79,
2018,6,407.77,
2018,7,406.16,
2018,8,405.37,
2018,9,405.76,
2018,10,407.62,
2018,11,409.58,
2018,12,410.52,
2019,1,411.21,
2019,2,411.59,
2019,3,411.86,
2019,4,412.04,
2019,5,411.65,
2019,6,410.54,
2019,7,408.86,
2019,8,408.03,
2019,9,408.62,
2019,10,410.46,
2019,11,412.21,
2019,12,413.12,
2020,1,413.85,
2020,2,413.97,
2020,3,414.40,
2020,4,414.53,
2020,5,414.03,
2020,6,412.73,
2020,7,411.19,
2020,8,410.42,
2020,9,411.05,
2020,10,412.88,
2020,11,414.45,
2020,12,415.66,
2021,1,416.27,
2021,2,416.57,
2021,3,416.82,
2021,4,416.89,
2021,5,416.48,
2021,6,415.27,
2021,7,413.78,
2021,8,412.68,
2021,9,413.49,
2021,10,415.29,
2021,11,417.15,
2021,12,418.18,
2022,1,418.71,
2022,2,419.05,
2022,3,419.34,
2022,4,419.32,
2022,5,418.83,
2022,6,417.61,
2022,7,415.95,
2022,8,415.17,
2022,9,415.62,
2022,10,417.30,
2022,11,419.05,
2022,12,420.28,
2023,1,420.58,
2023,2,420.99,
2023,3,421.29,
2023,4,421.60,
2023,5,420.97,
2023,6,419.68,
2023,7,418.34,
2023,8,417.62,
2023,9,418.32,
2023,10,420.13,
2023,11,421.76,
2023,12,423.18,
2024,1,423.81,
2024,2,424.30,
2024,3,424.74,
2024,4,424.88,
2024,5,424.36,
2024,6,423.36,
2024,7,422.04,
2024,8,421.37,
2024,9,422.17,
2024,10,423.92,
2024,11,425.60,
2024,12,426.76,
