FY,Month,Value
2023,OCT,231529
2023,NOV,235173
2023,DEC,252315
2023,JAN,157358
2023,FEB,156630
2023,MAR,193249
2023,APR,211992
2023,MAY,206690
2023,JUN,144556
2023,JUL,183479
2023,AUG,232963
2023,SEP,269735
2024,OCT,240927
2024,NOV,242399
2024,DEC,301981
2024,JAN,176195
2024,FEB,189913
2024,MAR,189359
2024,APR,179737
2024,MAY,170716
2024,JUN,130415
2024,JUL,104100
2024,AUG,107473
2024,SEP,101790
2025,OCT,106316
2025,NOV,94183
2025,DEC,96033
2025,JAN,61445
2025,FEB,11710
2025,MAR,11011
2025,APR,12023
2025,MAY,12450
2025,JUN,9300
2025,JUL,7822
2025,AUG,9731
2025,SEP,11647
2026 (FYTD),OCT,11704
2026 (FYTD),NOV,10957
2026 (FYTD),DEC,9991
2026 (FYTD),JAN,9726
